Player,Team,Pos,G,MP,GS,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Extra
Awak KuierDALF3739937410.81.02.5.3960.10.6.0870.91.8.5000.60.7.7780.62.50.50.20.60.60.82.6,DAL,F,37,399,37,4,10.8,1.0,2.5,.396,0.1,0.6,.087,0.9,1.8,.500,0.6,0.7,.778,0.6,2.5,0.5,0.2,0.6,0.6,0.8,2.6
Betnijah LaneyNYLG-F401201404030.05.010.0.4991.53.8.3923.56.2.5651.31.7.7910.83.32.40.90.11.92.212.8,NYL,G-F,40,1201,40,40,30.0,5.0,10.0,.499,1.5,3.8,.392,3.5,6.2,.565,1.3,1.7,.791,0.8,3.3,2.4,0.9,0.1,1.9,2.2,12.8
Jewell LoydSEAG381344383835.47.520.3.3703.08.5.3564.511.8.3806.77.5.8881.14.73.41.00.42.81.724.7,SEA,G,38,1344,38,38,35.4,7.5,20.3,.370,3.0,8.5,.356,4.5,11.8,.380,6.7,7.5,.888,1.1,4.7,3.4,1.0,0.4,2.8,1.7,24.7
Marina MabreyCHIG391169393930.05.212.6.4112.35.8.3902.96.7.4302.42.8.8360.93.73.60.70.52.22.415.0,CHI,G,39,1169,39,39,30.0,5.2,12.6,.411,2.3,5.8,.390,2.9,6.7,.430,2.4,2.8,.836,0.9,3.7,3.6,0.7,0.5,2.2,2.4,15.0
Ezi MagbegorSEAF-C401304404032.65.410.6.5130.82.0.3854.78.6.5422.23.1.6991.68.12.61.11.92.43.213.8,SEA,F-C,40,1304,40,40,32.6,5.4,10.6,.513,0.8,2.0,.385,4.7,8.6,.542,2.2,3.1,.699,1.6,8.1,2.6,1.1,1.9,2.4,3.2,13.8
Kayla McBrideMING381208383831.84.911.6.4242.26.4.3422.75.2.5252.22.6.8670.43.22.21.20.21.71.714.3,MIN,G,38,1208,38,38,31.8,4.9,11.6,.424,2.2,6.4,.342,2.7,5.2,.525,2.2,2.6,.867,0.4,3.2,2.2,1.2,0.2,1.7,1.7,14.3
Teaira McCowanDALC30783302926.15.09.1.5510.00.1.0005.08.9.5601.93.3.5863.59.11.50.51.21.53.311.9,DAL,C,30,783,30,29,26.1,5.0,9.1,.551,0.0,0.1,.000,5.0,8.9,.560,1.9,3.3,.586,3.5,9.1,1.5,0.5,1.2,1.5,3.3,11.9
Aari McDonaldATLG2456524923.52.86.8.4021.03.3.3211.73.6.4771.31.8.7620.32.03.00.60.01.61.67.9,ATL,G,24,565,24,9,23.5,2.8,6.8,.402,1.0,3.3,.321,1.7,3.6,.477,1.3,1.8,.762,0.3,2.0,3.0,0.6,0.0,1.6,1.6,7.9
Jade MelbourneSEAG2930729010.60.92.2.3910.10.7.1500.81.5.5000.81.0.7930.21.21.20.40.00.91.62.6,SEA,G,29,307,29,0,10.6,0.9,2.2,.391,0.1,0.7,.150,0.8,1.5,.500,0.8,1.0,.793,0.2,1.2,1.2,0.4,0.0,0.9,1.6,2.6
Li MengWASG3453934115.91.84.8.3781.33.6.3640.51.3.4190.60.8.8460.21.11.00.30.00.81.15.6,WAS,G,34,539,34,1,15.9,1.8,4.8,.378,1.3,3.6,.364,0.5,1.3,.419,0.6,0.8,.846,0.2,1.1,1.0,0.3,0.0,0.8,1.1,5.6
Abby MeyersWASG936904.00.61.4.3850.00.4.0000.61.0.5560.30.31.0000.10.40.00.10.20.10.61.4,WAS,G,9,36,9,0,4.0,0.6,1.4,.385,0.0,0.4,.000,0.6,1.0,.556,0.3,0.3,1.000,0.1,0.4,0.0,0.1,0.2,0.1,0.6,1.4
Taylor MikesellATLG629604.80.81.7.5000.51.2.4290.30.5.6670.70.71.0000.00.30.30.00.00.20.02.8,ATL,G,6,29,6,0,4.8,0.8,1.7,.500,0.5,1.2,.429,0.3,0.5,.667,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.2,0.0,2.8
